,num_campo,Ba_ppm ,Co_ppm ,Cr_ppm ,Cu_ppm ,Fe_pct   ,Mg_pct   ,Mn_ppm ,V_ppm ,K-classes,Lat,Long
774,1015-RH-S-0012,200.0,30.0,100.0,10.0,3.0,0.05,500.0,100.0,0,-14.606589535,-39.269251012
775,1015-RH-S-0013,150.0,20.0,150.0,7.0,3.0,0.1,300.0,100.0,0,-14.570888851,-39.258068067
776,1015-RH-S-0014,300.0,30.0,150.0,5.0,2.0,0.15,300.0,100.0,0,-14.573089608,-39.264468355
777,1015-RH-S-0016,200.0,30.0,150.0,5.0,3.0,0.05,300.0,100.0,0,-14.586875475,-39.250146937
778,1015-RH-S-0018,300.0,15.0,100.0,10.0,2.0,0.1,300.0,70.0,0,-14.638642903,-39.243525733
779,1015-RH-S-0020,150.0,50.0,70.0,7.0,3.0,0.2,500.0,100.0,0,-14.649023047,-39.296951687
780,1015-RH-S-0021,100.0,10.0,100.0,5.0,2.0,0.2,300.0,100.0,0,-14.571869229,-39.175914362
781,1015-RH-S-0022,70.0,15.0,500.0,5.0,3.0,0.05,200.0,70.0,0,-14.570061646,-39.174984631
782,1015-RH-S-0024,20.0,10.0,70.0,5.0,1.5,0.05,200.0,70.0,0,-14.56282887,-39.174514793
783,1015-RH-S-0026,100.0,30.0,500.0,10.0,3.0,1.0,300.0,100.0,0,-14.556499538,-39.174973938
784,1015-RH-S-0027,150.0,15.0,50.0,20.0,1.5,0.07,200.0,70.0,0,-14.556049191,-39.172652985
785,1015-RH-S-0028,200.0,20.0,150.0,15.0,2.0,0.2,500.0,70.0,0,-14.605315536,-39.184761154
786,1015-RH-S-0029,150.0,30.0,100.0,7.0,3.0,0.1,300.0,70.0,0,-14.537505081,-39.184704678
787,1015-RH-S-0030,150.0,20.0,70.0,10.0,3.0,0.07,200.0,100.0,0,-14.53570531,-39.173565334
788,1015-RH-S-0031,300.0,20.0,300.0,10.0,3.0,0.7,300.0,100.0,0,-14.516709796,-39.184687417
789,1015-RH-S-0034,500.0,20.0,150.0,20.0,3.0,0.1,300.0,100.0,0,-14.502222033,-39.210195784
790,1015-RH-S-0035,700.0,20.0,200.0,15.0,3.0,0.15,500.0,100.0,0,-14.502422486,-39.198559935
791,1015-RH-S-0036,500.0,20.0,200.0,10.0,3.0,0.3,200.0,100.0,0,-14.501307221,-39.221795033
792,1015-RH-S-0037,50.0,15.0,200.0,7.0,3.0,0.05,200.0,100.0,0,-14.502845781,-39.230747658
793,1015-RH-S-0038,300.0,15.0,70.0,20.0,2.0,0.2,500.0,100.0,0,-14.613920774,-39.163413261
794,1015-RH-S-0038R,200.0,20.0,100.0,30.0,2.0,0.2,500.0,70.0,0,-14.613921423,-39.162484779
795,1015-RH-S-0042,70.0,15.0,100.0,7.0,2.0,0.07,1000.0,100.0,0,-14.594943507,-39.149009002
796,1015-RH-S-0043,50.0,5.0,70.0,7.0,0.7,0.03,150.0,50.0,0,-14.589975641,-39.141300007
797,1015-RH-S-0045,150.0,30.0,150.0,15.0,3.0,0.1,700.0,150.0,0,-14.584557004,-39.130434817
798,1015-RH-S-0048,50.0,20.0,200.0,30.0,3.0,0.1,500.0,150.0,0,-14.556523803,-39.138772519
799,1015-RH-S-0049,50.0,20.0,300.0,30.0,5.0,0.1,500.0,150.0,0,-14.552030382,-39.132331733
800,1015-RH-S-0051,70.0,20.0,200.0,20.0,3.0,0.15,500.0,100.0,0,-14.55200391,-39.137960327
801,1015-RH-S-0054,50.0,20.0,150.0,50.0,5.0,0.15,500.0,100.0,0,-14.533014965,-39.140814004
802,1015-RH-S-0057,70.0,15.0,70.0,30.0,3.0,0.07,300.0,150.0,0,-14.581114564,-39.116079268
803,1015-RH-S-0058,70.0,20.0,70.0,10.0,3.0,0.07,300.0,150.0,0,-14.568289113,-39.1178933
804,1015-RH-S-0061,20.0,30.0,200.0,30.0,5.0,0.07,500.0,150.0,0,-14.570100804,-39.110932011
805,1015-RH-S-0061R,30.0,30.0,300.0,30.0,5.0,0.07,500.0,150.0,0,-14.570552654,-39.111396389
806,1015-RH-S-0063,100.0,5.0,20.0,20.0,0.7,0.1,150.0,30.0,0,-14.612607178,-39.082634697
807,1015-RH-S-0063R,150.0,5.0,20.0,70.0,0.5,0.15,100.0,30.0,0,-14.612606847,-39.083563176
808,1015-RH-S-0065,150.0,7.0,20.0,50.0,0.3,0.1,150.0,20.0,0,-14.609311535,-39.059702993
